RegNo,Hall,Block,Seat
250306101,Top Hall,6,A1
250306102,Top Hall,6,A2
250306103,Top Hall,6,A3
250306104,Top Hall,6,A4
250306105,Top Hall,6,A5
250306106,Top Hall,6,A6
250306107,Top Hall,6,A7
250306108,Top Hall,6,A8
250306109,Top Hall,6,A9
250306110,Top Hall,6,A10
250306111,Top Hall,6,A11
250306112,Top Hall,6,A12
250306113,Top Hall,6,A13
250306114,Top Hall,6,A14
250306115,Top Hall,6,A15
250306116,Top Hall,6,A16
250306117,Top Hall,6,A17
250306118,Top Hall,6,A18
250306119,Top Hall,6,A19
,Top Hall,6,A20
250204101,Top Hall,6,B1
250204102,Top Hall,6,B2
250204103,Top Hall,6,B3
250204104,Top Hall,6,B4
250204106,Top Hall,6,B5
250204107,Top Hall,6,B6
250204108,Top Hall,6,B7
250204109,Top Hall,6,B8
250204110,Top Hall,6,B9
250204111,Top Hall,6,B10
250204112,Top Hall,6,B11
250204113,Top Hall,6,B12
250204114,Top Hall,6,B13
250204115,Top Hall,6,B14
250204116,Top Hall,6,B15
,Top Hall,6,B16
,Top Hall,6,B17
,Top Hall,6,B18
,Top Hall,6,B19
,Top Hall,6,B20
250211101,Top Hall,6,C1
250211102,Top Hall,6,C2
250211103,Top Hall,6,C3
250211104,Top Hall,6,C4
250211105,Top Hall,6,C5
250211106,Top Hall,6,C6
250211107,Top Hall,6,C7
250211108,Top Hall,6,C8
250209101,Top Hall,7,A1
250209102,Top Hall,7,A2
250209103,Top Hall,7,A3
250209104,Top Hall,7,A4
250209105,Top Hall,7,A5
250209106,Top Hall,7,A6
250209108,Top Hall,7,A7
250209109,Top Hall,7,A8
250209110,Top Hall,7,A9
250209111,Top Hall,7,A10
250209113,Top Hall,7,A11
250209114,Top Hall,7,A12
250209115,Top Hall,7,A13
250203101,Top Hall,7,B1
250203102,Top Hall,7,B2
250203103,Top Hall,7,B3
250203104,Top Hall,7,B4
250203105,Top Hall,7,B5
250203106,Top Hall,7,B6
250203107,Top Hall,7,B7
250203109,Top Hall,7,B8
250203110,Top Hall,7,B9
250203111,Top Hall,7,B10
250203112,Top Hall,7,B11
250203114,Top Hall,7,B12
250203115,Top Hall,7,B13
250212101,Top Hall,7,C1
250212102,Top Hall,7,C2
250212103,Top Hall,7,C3
250212104,Top Hall,7,C4
250212105,Top Hall,7,C5
250212106,Top Hall,7,C6
250212107,Top Hall,7,C7
250212108,Top Hall,7,C8
